A00,Polish Opening: Tartakower Gambit,Pb2b4 Pe7e5 Bc1b2 Pf7f6 Pe2e4
A00,Polish Opening: Bugayev Attack,Pb2b4 Pe7e5 Pa2a3
A00,Polish Opening: Queenside Defense,Pb2b4 Pe7e6 Bc1b2 Ng8f6 Pb4b5 Pa7a6
A00,Polish Opening: Rooks Swap Line,Pb2b4 Pe7e6 Bc1b2 Ng8f6 Pb4b5 Pa7a6 Pa2a4 Pa6xb5 Pa4xb5 Ra8xa1 Bb2xa1
A00,Polish Opening: Queen's Indian Variation,Pb2b4 Pe7e6 Bc1b2 Ng8f6 Pb4b5 Pb7b6
A00,Polish Opening: Schiffler-Sokolsky Variation,Pb2b4 Pe7e6 Bc1b2 Ng8f6 Pb4b5 Pd7d5 Pe2e3
A00,Polish Opening: Dutch Defense,Pb2b4 Pf7f5
A00,Saragossa Opening,Pc2c3
A10,English Opening,Pc2c4
A10,English Opening: Anglo-Lithuanian Variation,Pc2c4 Nb8c6
A15,English Opening: Anglo-Indian Defense,Pc2c4 Ng8f6
A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",Pc2c4 Ng8f6 Nb1c3
A34,"English Opening: Symmetrical Variation, Fianchetto Variation",Pc2c4 Ng8f6 Nb1c3 Pc7c5 Pg2g3
A34,"English Opening: Symmetrical Variation, Rubinstein Variation",Pc2c4 Ng8f6 Nb1c3 Pc7c5 Pg2g3 Pd7d5 Pc4xd5 Nf6xd5 Bf1g2 Nd5c7
A16,English Opening: Anglo-Grünfeld Defense,Pc2c4 Ng8f6 Nb1c3 Pd7d5
A16,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",Pc2c4 Ng8f6 Nb1c3 Pd7d5 Pc4xd5 Nf6xd5 Ng1f3
A16,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",Pc2c4 Ng8f6 Nb1c3 Pd7d5 Pc4xd5 Nf6xd5 Ng1f3 Pg7g6
A16,"English Opening: Anglo-Grünfeld Defense, Korchnoi Variation",Pc2c4 Ng8f6 Nb1c3 Pd7d5 Pc4xd5 Nf6xd5 Ng1f3 Pg7g6 Pg2g3 Bf8g7 Bf1g2 Pe7e5
A16,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",Pc2c4 Ng8f6 Nb1c3 Pd7d5 Pc4xd5 Nf6xd5 Pg2g3 Pg7g6 Bf1g2 Nd5b6
A16,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",Pc2c4 Ng8f6 Nb1c3 Pd7d5 Pc4xd5 Nf6xd5 Pg2g3 Pg7g6 Bf1g2 Nd5xc3
A17,"English Opening: Anglo-Indian Defense, Hedgehog System",Pc2c4 Ng8f6 Nb1c3 Pe7e6
A17,"English Opening: Anglo-Indian Defense, Nimzo-English",Pc2c4 Ng8f6 Nb1c3 Pe7e6 Ng1f3 Bf8b4
A15,"English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld",Pc2c4 Ng8f6 Nb1c3 Pg7g6 Ng1f3 Bf8g7 Pe2e4
A15,"English Opening: Anglo-Indian Defense, King's Knight Variation",Pc2c4 Ng8f6 Ng1f3
A15,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",Pc2c4 Ng8f6 Ng1f3 Pb7b6
A35,"English Opening: Symmetrical Variation, Four Knights Variation",Pc2c4 Ng8f6 Ng1f3 Pc7c5 Nb1c3 Nb8c6
A38,"English Opening: Symmetrical Variation, Full Symmetry Line",Pc2c4 Ng8f6 Ng1f3 Pc7c5 Nb1c3 Nb8c6 Pg2g3 Pg7g6 Bf1g2 Bf8g7
